1,77,66,55,46,39,33,66,44,21,30.37,30.31,30.26,10,10,10,10,4,18,0,
2,80,70,59,56,48,39,55,45,35,30.27,30.15,30.02,10,10,10,10,4,19,0,
3,87,76,65,70,62,53,93,69,45,30.03,29.9,29.82,10,7,1,13,4,22,0.12,Rain
4,82,73,63,63,61,60,93,72,51,29.88,29.81,29.74,10,6,3,10,4,16,0,
5,76,69,61,63,60,47,93,67,41,29.81,29.7,29.65,10,5,1,13,6,20,0.87,Rain
6,76,69,61,50,48,46,64,51,38,29.95,29.87,29.8,10,10,10,10,5,20,0,
7,82,71,60,55,52,50,72,54,35,30.01,29.97,29.92,10,10,10,9,3,15,0,
8,86,76,66,59,54,51,73,53,32,29.96,29.92,29.88,10,10,10,13,3,19,0,
9,73,68,63,65,62,50,100,72,44,29.98,29.96,29.9,10,3,0,9,4,15,1.6,"Fog , Rain"
10,77,71,65,68,65,62,93,84,74,30,29.96,29.93,9,5,1,8,3,11,0,
11,70,66,61,66,59,56,90,78,66,30.15,30.08,30,10,9,5,16,7,23,0.02,Rain
12,73,67,60,67,62,56,97,88,78,30.12,30.03,29.93,10,6,2,10,6,15,0.07,Rain
13,79,72,65,68,65,63,100,86,71,29.95,29.84,29.75,10,4,0,9,4,17,1.28,"Fog , Rain"
14,74,67,60,67,60,45,93,69,44,30.04,29.87,29.78,10,6,1,14,5,26,0,
15,80,70,59,54,51,49,72,56,39,30.1,30.07,30.04,10,10,10,12,4,18,0,
16,81,72,63,58,56,54,78,59,39,30.18,30.11,30.06,10,10,10,12,3,18,0,
17,89,80,71,69,63,58,68,57,46,30.06,30,29.88,10,9,7,9,4,16,0,
18,89,83,76,68,62,55,67,51,35,29.97,29.89,29.81,10,10,8,14,6,24,0,
19,77,73,68,68,63,60,93,77,60,30.04,29.99,29.94,10,9,2,10,4,17,0.15,Rain
20,79,72,64,64,47,39,84,55,26,30.02,29.97,29.9,10,10,9,12,4,19,0,
21,78,70,62,52,48,42,60,46,32,29.99,29.94,29.89,10,10,10,13,5,18,0,
22,79,72,64,58,53,48,78,58,38,30.04,29.97,29.92,10,10,10,9,2,15,0,
23,81,73,65,58,56,53,73,60,46,30.15,30.11,30.05,10,10,10,12,3,19,0,
24,81,75,68,61,58,53,70,58,45,30.18,30.11,30.03,10,10,10,12,5,20,0,
25,85,78,70,70,68,60,90,76,61,30.04,29.94,29.84,10,9,5,12,5,24,0.08,Rain
26,85,78,70,69,67,62,93,74,54,29.97,29.86,29.81,10,9,2,13,5,17,0.07,Rain
27,83,75,67,65,60,55,79,61,43,30.23,30.1,29.99,10,10,10,13,3,18,0,
28,87,77,66,59,55,48,68,48,27,30.28,30.25,30.23,10,10,10,12,3,20,0,
29,83,76,68,63,55,50,68,55,42,30.27,30.2,30.13,10,10,10,12,3,18,0,
30,84,77,69,66,62,51,84,66,47,30.12,30.04,29.95,10,10,10,10,3,20,0,
