2012,Temp. (°F),,,Dew Point (°F),,,Humidity (%),,,Sea Level Press. (in),,,Visibility (mi),,,Wind (mph),,,Precip. (in),Events
Jan,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum,
1,52,47,41,46,40,37,82,71,59,30.12,29.93,29.68,10,10,6,15,6,22,0.05,Rain
2,50,42,33,40,20,15,74,56,37,29.82,29.75,29.68,10,10,10,25,10,32,0,
3,33,24,15,21,8,-1,69,54,38,30.14,29.94,29.81,10,10,10,20,11,30,0,
4,27,20,13,13,4,-3,61,47,32,30.23,30.11,29.97,10,10,10,16,8,22,0,
5,40,34,27,22,17,13,56,50,44,29.97,29.91,29.84,10,10,10,16,6,22,0,
6,53,44,35,30,27,22,64,51,38,29.95,29.83,29.74,10,10,8,14,7,22,0,
7,62,54,46,37,31,26,53,43,33,29.98,29.8,29.71,10,10,10,15,7,23,0,
8,46,40,33,26,22,15,53,48,43,30.32,30.19,30,10,10,10,16,8,24,0,
9,41,36,31,28,19,15,70,52,34,30.32,30.21,29.99,10,10,10,14,4,20,0,
10,47,40,33,27,25,20,75,60,45,30,29.93,29.86,10,9,6,14,7,18,0,
11,48,43,37,38,30,25,70,58,45,30.1,30.01,29.83,10,10,4,14,6,20,0.07,Rain
12,45,43,41,45,42,39,100,93,86,29.83,29.55,29.44,10,4,1,30,9,40,1.38,Rain
13,50,39,28,46,31,11,100,73,46,29.81,29.49,29.25,10,7,1,25,11,36,0.09,Rain
14,32,30,27,17,15,10,58,52,45,30.09,29.95,29.82,10,10,10,17,9,25,T,
15,27,21,15,10,-1,-6,54,42,30,30.58,30.45,30.32,10,10,10,17,9,25,0,
16,37,26,15,30,11,0,75,57,39,30.62,30.45,30.16,10,10,4,17,5,26,0.04,"Rain , Snow"
17,53,45,36,46,38,29,93,85,77,-,-,-,10,8,2,17,8,26,0.19,Rain
18,54,39,24,46,18,8,77,56,35,30.18,30.05,29.91,10,10,10,22,10,35,0,
19,37,29,20,24,14,3,69,57,44,30.26,30.12,29.94,10,10,10,16,7,24,0,
20,36,30,24,23,10,3,63,47,31,30.29,30.16,29.94,10,10,10,18,7,24,0,
21,29,26,22,23,20,10,88,67,46,30.31,30.11,29.98,10,4,0,17,10,24,0.39,"Fog , Snow"
22,34,26,18,28,19,9,82,72,62,30.54,30.48,30.41,10,10,10,16,8,22,0,
23,53,44,34,51,41,28,100,91,82,30.43,30.13,29.89,10,4,0,17,7,28,0.37,"Fog , Rain"
24,53,48,42,49,39,30,92,73,53,30.12,30,29.89,10,9,7,14,8,22,0,
25,44,40,36,28,25,24,59,54,49,30.3,30.24,30.22,10,10,10,16,7,25,0,
26,40,37,33,39,32,24,100,80,59,30.25,30.08,29.83,10,6,2,13,4,17,0.18,"Rain , Snow"
27,59,50,40,57,46,29,100,77,53,29.85,29.58,29.34,10,5,0,25,8,36,0.47,"Fog , Rain"
28,44,40,37,27,25,23,57,53,49,30.04,29.96,29.86,10,10,10,17,10,26,0,
29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,
30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
31,55,54,54,31,30,30,41,39,37,30.05,30.04,30.02,10,10,10,13,9,18,0,
