2013,Temp. (°F),,,Dew Point (°F),,,Humidity (%),,,Sea Level Press. (in),,,Visibility (mi),,,Wind (mph),,,Precip. (in),Events
Apr,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum,
1,62,50,37,45,37,11,93,62,30,29.91,29.72,29.62,10,8,2,20,7,31,T,Rain
2,43,38,33,14,10,7,43,33,22,30.08,29.99,29.93,10,10,10,18,10,30,0,
3,46,40,33,12,9,6,41,31,20,30.29,30.15,30.08,10,10,10,15,11,31,0,
4,53,43,33,29,18,13,53,40,26,30.38,30.25,30.09,10,10,10,13,6,22,0,
5,64,53,41,29,22,14,57,37,16,30.06,29.89,29.71,10,10,10,17,6,29,0,
6,52,44,35,28,15,4,57,36,14,30.31,30.22,30.01,10,10,10,20,6,31,0,
7,55,48,40,42,33,22,71,56,40,30.3,30.16,30,10,10,10,14,7,31,0,
8,73,62,51,46,41,36,77,52,27,30.07,30.02,29.98,10,10,10,16,4,26,0,
9,82,67,51,50,42,30,89,53,16,29.99,29.94,29.9,10,9,6,17,5,31,T,
10,74,65,55,57,50,44,86,65,44,29.95,29.89,29.81,10,7,2,16,5,32,0.49,Rain
11,60,54,47,58,48,38,93,77,60,30.07,29.94,29.77,10,8,2,15,6,23,T,
12,47,44,41,41,39,37,93,82,71,30.03,29.87,29.72,10,6,1,23,11,34,0.63,Rain
13,58,50,41,39,37,31,93,67,41,29.97,29.86,29.75,10,10,8,13,3,19,0.01,Rain
14,57,52,46,36,29,24,61,46,30,30.22,30.07,29.97,10,10,10,16,6,24,0,Rain
15,59,52,44,39,29,24,71,51,30,30.38,30.32,30.23,10,10,10,14,6,18,0,
16,63,55,47,52,46,38,80,70,60,30.37,30.28,30.12,10,10,10,18,7,26,0,
17,71,63,55,54,43,32,78,53,28,30.29,30.19,30.12,10,10,10,12,5,19,0.02,Rain
18,59,55,51,53,43,34,100,70,40,30.34,30.26,30.11,10,9,5,17,6,27,0.01,Rain
19,71,63,55,61,56,53,93,80,66,30.13,29.9,29.65,10,7,1,16,7,26,0.05,Rain
20,60,52,43,55,35,22,83,54,25,30.3,29.93,29.7,10,10,6,16,9,30,0.06,Rain
21,55,46,37,30,21,15,58,40,22,30.62,30.52,30.33,10,10,10,15,5,23,0,
22,55,48,41,34,31,27,67,53,38,30.65,30.59,30.49,10,10,10,21,10,26,0,
23,53,47,41,39,35,30,76,69,62,30.49,30.32,30.12,10,10,4,20,9,31,0,
24,69,57,44,49,43,37,83,64,45,30.09,29.97,29.84,10,9,7,12,5,19,0,
25,66,56,46,51,29,19,77,48,18,30.26,30.13,29.87,10,10,9,16,5,28,0,
26,67,59,50,32,29,20,45,32,18,30.41,30.34,30.27,10,10,10,13,3,23,0,
27,71,60,48,31,27,22,46,32,18,30.43,30.36,30.29,10,10,10,13,5,18,0,
28,69,60,51,41,33,25,59,41,22,30.31,30.27,30.21,10,10,9,14,4,21,0,
29,57,55,52,50,46,43,77,69,61,30.25,30.22,30.19,10,10,6,13,5,22,0.04,Rain
30,68,60,51,48,35,20,89,54,18,30.34,30.28,30.21,10,10,9,10,5,-,0,
