2016,Temp. (°F),,,Dew Point (°F),,,Humidity (%),,,Sea Level Press. (in),,,Visibility (mi),,,Wind (mph),,,Precip. (in),Events
Feb,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum,
1,59,52,44,39,33,24,61,50,39,30.08,29.85,29.73,10,10,5,14,6,21,0.01,Rain
2,50,44,38,28,25,22,57,46,34,30.37,30.28,30.1,10,10,10,12,4,17,0,
3,59,51,42,54,48,29,93,75,57,30.31,30.03,29.83,10,6,1,18,7,30,0.73,Rain
4,59,52,44,55,42,26,93,68,42,30.08,29.97,29.86,10,9,2,14,6,21,T,Rain
5,44,38,31,31,26,13,92,66,40,30.32,30.13,30.04,10,4,0,17,8,29,0.53,"Fog , Rain , Snow"
6,39,34,30,21,18,15,57,49,41,30.43,30.34,30.26,10,10,10,10,6,20,0,
7,47,40,33,27,22,19,59,48,37,30.23,30.1,29.9,10,10,10,18,5,26,0,
8,39,34,28,27,24,20,78,63,48,29.86,29.78,29.73,10,7,0,21,11,31,0.05,Snow
9,36,32,27,26,22,21,81,69,56,29.73,29.63,29.56,10,10,5,14,4,19,T,
10,39,35,31,29,25,13,82,63,44,29.75,29.63,29.58,10,6,1,16,6,24,0.01,Snow
11,31,25,18,17,2,-6,49,40,31,30.19,29.92,29.75,10,9,2,20,10,37,T,Snow
12,27,21,15,7,0,-3,51,42,32,30.27,30.12,29.92,10,10,10,15,7,27,0,
13,22,14,6,12,-5,-17,68,47,25,30.31,30.07,29.86,10,10,10,23,12,40,0,
14,15,7,-1,-12,-16,-19,51,38,24,30.55,30.48,30.32,10,10,10,20,6,33,0,
15,35,24,13,32,18,-11,89,61,33,30.56,30.33,30.09,10,4,0,12,5,17,0.44,"Fog , Rain , Snow"
16,54,45,35,50,44,25,96,79,62,30.09,29.74,29.43,10,5,0,18,8,40,1.01,"Fog , Rain"
17,39,37,35,27,24,21,64,58,52,30.19,29.99,29.79,10,10,10,14,7,22,0,
18,36,32,27,21,7,0,61,42,22,30.54,30.4,30.21,10,10,10,15,7,23,0,
19,39,32,24,30,15,3,70,51,32,30.6,30.42,30.18,10,10,10,14,5,23,0,
20,61,50,39,35,30,26,70,52,33,30.13,29.92,29.8,10,10,10,16,7,30,0,
21,55,50,44,36,32,28,54,45,35,29.97,29.91,29.81,10,10,9,14,5,21,0.03,Rain
22,52,45,38,31,24,14,64,46,28,30.27,30.12,29.97,10,10,10,16,5,22,0,
23,40,38,35,33,30,12,89,62,34,30.33,30.26,30.17,10,6,2,24,15,35,0.3,Rain
24,60,48,36,56,43,32,93,89,85,30.19,29.81,29.32,10,3,1,21,10,36,1.22,Rain
25,61,49,37,56,38,26,89,70,50,29.55,29.35,29.22,10,10,9,20,9,36,0.02,Rain
26,39,33,27,19,9,0,64,44,23,30.1,29.87,29.58,10,10,10,22,9,34,0,
27,41,34,26,19,12,7,50,40,30,30.14,30.06,29.98,10,10,10,15,6,24,0,
28,60,49,38,31,24,19,52,40,27,29.99,29.89,29.74,10,10,10,17,7,31,0,
29,61,54,47,40,31,24,76,54,32,29.94,29.71,29.6,10,10,4,15,9,26,0.05,Rain
