1,36,28,20,29,19,6,85,66,47,30.22,30.13,29.99,10,7,1,12,4,17,0.03,Snow
2,34,24,14,30,24,5,92,80,67,30,29.6,29.39,9,3,0,22,10,32,1.02,"Fog , Rain , Snow"
3,26,20,13,12,8,4,70,60,50,30.31,30.22,29.99,10,9,8,17,7,27,0,
4,43,34,24,28,21,11,63,56,49,30.32,30.14,29.91,10,9,7,13,4,19,0,
5,42,28,14,27,10,-6,69,50,31,30.22,30.02,29.83,10,10,9,20,8,30,0,
6,27,20,12,7,0,-3,53,43,33,30.27,30.19,30.1,10,10,10,17,7,26,0,
7,40,33,25,26,17,8,75,61,46,30.16,30.09,29.98,10,8,0,12,4,18,0.02,Snow
8,37,33,29,30,28,23,89,74,59,29.98,29.92,29.86,9,5,2,18,9,26,0,
9,29,27,25,23,19,18,81,75,68,30.02,29.99,29.94,10,9,5,20,11,29,0.09,
10,40,33,26,22,19,17,69,59,48,30.08,30.04,30,10,9,3,18,10,27,0.01,Snow
11,34,28,22,16,11,8,65,50,35,30.1,30.02,29.91,10,10,10,18,7,26,0,
12,40,28,16,27,19,-4,69,55,41,29.93,29.79,29.7,10,8,1,22,7,39,T,Snow
13,21,15,8,-5,-7,-9,50,41,31,30.17,30.1,29.96,10,10,10,22,9,37,0,
14,32,24,16,22,15,-6,75,54,33,30.12,29.67,29.44,10,6,1,14,5,23,0.02,Snow
15,25,15,4,19,0,-13,81,58,34,30.11,29.75,29.44,10,9,2,23,15,42,T,Snow
16,21,12,3,-6,-11,-13,51,38,25,30.2,30.14,30.08,10,10,10,21,7,36,0,
17,27,21,14,12,9,-5,80,57,34,30.04,29.93,29.85,10,5,0,12,5,16,0.14,Snow
18,33,26,19,21,14,8,67,55,43,29.93,29.81,29.72,10,8,1,15,4,21,T,Snow
19,27,18,8,11,-3,-13,55,40,25,30,29.81,29.71,10,10,10,20,11,31,0,
20,19,11,2,-5,-10,-16,44,39,33,30.49,30.25,30.03,10,10,10,22,10,36,0,
21,32,23,13,29,15,-8,85,59,33,30.52,30.33,30.15,10,4,0,14,4,23,0.61,"Fog , Rain , Snow"
22,43,38,32,30,28,25,89,71,53,30.2,30.16,30.13,10,5,2,12,3,17,0.1,"Rain , Snow"
23,38,23,8,25,1,-12,64,45,25,30.41,30.29,30.18,10,10,10,17,11,29,0,
24,24,14,4,12,-3,-12,60,47,34,30.4,30.18,29.84,10,10,10,14,6,23,0,
25,37,29,20,14,10,4,65,49,32,29.99,29.85,29.75,10,10,10,15,6,24,0,
26,32,27,21,15,9,1,63,46,29,30.15,30.01,29.91,10,10,3,15,7,20,0,
27,30,24,18,6,3,-3,54,41,28,30.61,30.39,30.16,10,10,10,13,6,20,0,
28,29,21,13,3,-2,-5,51,40,29,30.82,30.74,30.64,10,10,10,12,4,18,0,
